id	fr	de	file_name
104	Nous apprenons l'allemand.	Wir lernen Deutsch.	a1_04
105	Tu as des devoirs.	Ihr habt Hausaufgaben.	a1_04
106	Ils travaillent beaucoup.	Sie arbeiten viel.	a1_04
107	Je suis fatigué.	Ich bin müde.	a1_04
108	Vous n'êtes pas fatigué.	Du bist nicht müde.	a1_04
109	Ils sont en couple.	Er und sie sind ein Paar.	a1_04
110	Nous et vous, nous apprenons tous ensemble.	Wir und ihr - wir alle lernen zusammen.	a1_04
111	Il pleut aujourd'hui.	Es regnet heute.	a1_04
112	J'apprends l'allemand.	Ich lerne Deutsch.	a1_05
113	Vous apprenez aussi l'allemand.	Du lernst auch Deutsch.	a1_05
114	Il étudie depuis un mois.	Er lernt seit einem Monat.	a1_05
115	Elle apprend très vite.	Sie lernt sehr schnell.	a1_05
116	Nous apprenons ensemble.	Wir lernen zusammen.	a1_05
117	On apprend à l'école.	Ihr lernt in der Schule.	a1_05
118	Vous apprendrez cela au cours de ce cours.	Sie lernen im Kurs.	a1_05
119	J'habite à Berlin.	Ich wohne in Berlin.	a1_05
120	Vous habitez à Hambourg.	Du wohnst in Hamburg.	a1_05
121	Il vit dans un petit appartement.	Er wohnt in einer kleinen Wohnung.	a1_05
122	Nous vivons ensemble.	Wir wohnen zusammen.	a1_05
123	Je joue au tennis.	Ich spiele Tennis.	a1_05
124	Tu joues de la guitare.	Du spielst Gitarre.	a1_05
125	Il joue au football.	Er spielt Fußball.	a1_05
126	Nous jouons souvent ensemble.	Wir spielen oft zusammen.	a1_05
127	J'achète du pain.	Ich kaufe Brot.	a1_05
128	Vous achetez du lait.	Du kaufst Milch.	a1_05
129	Il achète des pommes.	Er kauft Äpfel.	a1_05
130	Nous faisons nos courses au supermarché.	Wir kaufen im Supermarkt ein.	a1_05
131	J'entends de la musique.	Ich höre Musik.	a1_05
132	Vous écoutez la radio.	Du hörst Radio.	a1_05
133	Il écoute un podcast.	Er hört einen Podcast.	a1_05
134	Nous écoutons le professeur.	Wir hören dem Lehrer zu.	a1_05
135	Je travaille du lundi au vendredi.	Ich arbeite von Montag bis Freitag.	a1_05
136	Vous travaillez également le week-end.	Du arbeitest auch am Wochenende.	a1_05
137	Il prépare le dîner.	Er kocht das Abendessen.	a1_05
138	Elle boit du café tous les matins.	Sie trinkt jeden Morgen Kaffee.	a1_05
139	Nous faisons du sport ensemble.	Wir machen zusammen Sport.	a1_05
140	Je suis étudiant.	Ich bin Student.	a1_06
141	Vous êtes enseignant.	Du bist Lehrerin.	a1_06
142	Il est médecin.	Er ist Arzt.	a1_06
143	Elle est infirmière.	Sie ist Krankenschwester.	a1_06
144	Il fait froid aujourd'hui.	Es ist kalt heute.	a1_06
145	Nous sommes amis.	Wir sind Freunde.	a1_06
146	Vous êtes fatigué(e).	Ihr seid müde.	a1_06
147	Ils viennent d'Allemagne.	Sie sind aus Deutschland.	a1_06
148	J'ai une voiture.	Ich habe ein Auto.	a1_06
149	Vous avez un chat.	Du hast eine Katze.	a1_06
150	Il a deux enfants.	Er hat zwei Kinder.	a1_06
151	Elle a beaucoup de livres.	Sie hat viele Bücher.	a1_06
152	Nous avons un chien.	Wir haben einen Hund.	a1_06
153	Tu as faim.	Ihr habt Hunger.	a1_06
154	Vous avez le temps.	Sie haben Zeit.	a1_06
155	J'ai 25 ans.	Ich bin 25 Jahre alt.	a1_06
156	Tu es jeune.	Du bist jung.	a1_06
157	Il est grand et mince.	Er ist groß und schlank.	a1_06
158	Elle est très gentille.	Sie ist sehr nett.	a1_06
159	Nous sommes heureux aujourd'hui.	Wir sind heute glücklich.	a1_06
160	Je n'ai pas le temps.	Ich habe keine Zeit.	a1_06
161	Tu as raison.	Du hast Recht.	a1_06
162	Il a peur des araignées.	Er hat Angst vor Spinnen.	a1_06
163	Nous avons soif.	Wir haben Durst.	a1_06
164	Vous avez un grand appartement.	Ihr habt eine große Wohnung.	a1_06
165	Il fait beau.	Das Wetter ist schön.	a1_06
166	Avez-vous un instant ?	Haben Sie einen Moment Zeit?	a1_06
167	Je suis prêt.	Ich bin bereit.	a1_06
168	Je vais au parc aujourd'hui.	Ich gehe heute in den Park.	a1_07
169	Aujourd'hui, je vais au parc.	Heute gehe ich in den Park.	a1_07
170	Il boit du café le matin.	Er trinkt morgens Kaffee.	a1_07
171	Il boit du café le matin.	Morgens trinkt er Kaffee.	a1_07
172	Nous partons pour Berlin samedi.	Wir fahren am Samstag nach Berlin.	a1_07
173	Nous partons pour Berlin samedi.	Am Samstag fahren wir nach Berlin.	a1_07
174	Elle apprend l'allemand le soir.	Sie lernt abends Deutsch.	a1_07
175	Elle apprend l'allemand le soir.	Abends lernt sie Deutsch.	a1_07
176	L'enfant joue dans le jardin.	Das Kind spielt im Garten.	a1_07
177	L'enfant joue dans le jardin.	Im Garten spielt das Kind.	a1_07
178	Je mange toujours un repas chaud à midi.	Ich esse mittags immer warm.	a1_07
179	Je mange toujours un repas chaud à midi.	Mittags esse ich immer warm.	a1_07
180	Il arrivera à trois heures.	Er kommt um drei Uhr.	a1_07
181	Il arrivera à trois heures.	Um drei Uhr kommt er.	a1_07
182	On se retrouve au café.	Wir treffen uns im Café.	a1_07
183	On se retrouve au café.	Im Café treffen wir uns.	a1_07
184	J'aime lire des livres.	Ich lese gerne Bücher.	a1_07
185	J'aime lire des livres.	Gerne lese ich Bücher.	a1_07
186	Il fait toujours la grasse matinée.	Er schläft immer lange.	a1_07
187	Il fait toujours la grasse matinée.	Immer schläft er lange.	a1_07
188	Nous allons souvent nous promener.	Wir gehen oft spazieren.	a1_07
189	Nous allons souvent nous promener.	Oft gehen wir spazieren.	a1_07
190	Malheureusement, je ne pourrai pas venir.	Leider komme ich nicht.	a1_07
191	Je cuisine pour toi ce soir.	Heute Abend koche ich für dich.	a1_07
192	Parfois, il ne prend pas de petit-déjeuner.	Manchmal isst er kein Frühstück.	a1_07
193	Néanmoins, il va à l'école.	Trotzdem geht er zur Schule.	a1_07
194	Je ne suis pas fatigué.	Ich bin nicht müde.	a1_08
195	Il n'est pas chez lui.	Er ist nicht zu Hause.	a1_08
196	Elle ne viendra pas aujourd'hui.	Sie kommt heute nicht.	a1_08
197	Ce n'est pas correct.	Das ist nicht richtig.	a1_08
198	Je n'aime pas lire.	Ich lese nicht gerne.	a1_08
199	Vous n'êtes pas endormi.	Du schläfst nicht.	a1_08
200	Nous n'y allons pas aujourd'hui.	Wir fahren heute nicht.	a1_08
201	Il ne fait pas beau.	Das Wetter ist nicht schön.	a1_08
202	Je n'ai pas de voiture.	Ich habe kein Auto.	a1_08
203	Vous n'avez pas le temps.	Du hast keine Zeit.	a1_08
204	Il n'a pas faim.	Er hat keinen Hunger.	a1_08
205	Elle n'a pas d'argent.	Sie hat kein Geld.	a1_08
206	Nous n'avons pas de chat.	Wir haben keine Katze.	a1_08
207	Vous n'avez pas de café.	Ihr habt keinen Kaffee.	a1_08
208	Ils n'en ont aucune idée.	Sie haben keine Idee.	a1_08
209	Ce n'est pas un problème.	Das ist kein Problem.	a1_08
210	Il ne parle pas fort.	Er spricht nicht laut.	a1_08
211	Elle n'a pas de livre avec elle.	Sie hat kein Buch dabei.	a1_08
212	Le restaurant est fermé.	Das Restaurant ist nicht offen.	a1_08
213	Je ne le connais pas.	Ich kenne ihn nicht.	a1_08
214	Vous n'avez pas besoin de dictionnaire.	Du brauchst kein Wörterbuch.	a1_08
215	Il ne conduit pas vite.	Er fährt nicht schnell.	a1_08
216	Ce n'est pas une bonne idée.	Das ist keine gute Idee.	a1_08
217	Nous n'avons plus d'eau.	Wir haben kein Wasser mehr.	a1_08
218	Je ne comprends pas.	Ich verstehe das nicht.	a1_08
219	Il ne viendra pas, il est malade.	Er kommt nicht, er ist krank.	a1_08
220	L'enfant ne pleure pas.	Das Kind weint nicht.	a1_08
221	Elle n'est pas encore endormie.	Sie schläft noch nicht.	a1_08
222	Tu viens aujourd'hui ?	Kommst du heute?	a1_09
223	Oui, je viens aujourd'hui.	Ja, ich komme heute.	a1_09
224	Avez-vous le temps ?	Hast du Zeit?	a1_09
225	Non, je n'ai pas le temps.	Nein, ich habe keine Zeit.	a1_09
226	Est-il chez lui ?	Ist er zu Hause?	a1_09
227	Oui, il est chez lui.	Ja, er ist zu Hause.	a1_09
228	Parlez-vous allemand ?	Sprichst du Deutsch?	a1_09
229	Oui, je parle un peu allemand.	Ja, ich spreche ein bisschen Deutsch.	a1_09
230	Avez-vous faim?	Habt ihr Hunger?	a1_09
231	Oui, nous avons faim.	Ja, wir haben Hunger.	a1_09
232	Qui es-tu?	Wer bist du?	a1_09
233	Je m'appelle Maria.	Ich heiße Maria.	a1_09
234	Que fais-tu?	Was machst du?	a1_09
235	J'apprends l'allemand.	Ich lerne Deutsch.	a1_09
236	Où  habites-tu?	Wo wohnst du?	a1_09
237	J'habite à Munich.	Ich wohne in München.	a1_09
238	Quand arrives-tu ?	Wann kommst du?	a1_09
239	J'arriverai à trois heures.	Ich komme um drei Uhr.	a1_09
240	Quel est ton nom?	Wie heißt du?	a1_09
241	Je m'appelle Thomas.	Ich heiße Thomas.	a1_09
242	Pourquoi apprenez-vous l'allemand ?	Warum lernst du Deutsch?	a1_09
243	Parce que je veux visiter l'Allemagne.	Weil ich Deutschland besuchen möchte.	a1_09
244	Combien ça coûte ?	Wie viel kostet das?	a1_09
245	Cela coûte cinq euros.	Das kostet fünf Euro.	a1_09
246	D'où viens-tu?	Woher kommst du?	a1_09
247	Je viens de France.	Ich komme aus Frankreich.	a1_09
248	Où vas-tu?	Wohin gehst du?	a1_09
249	Je vais au supermarché.	Ich gehe in den Supermarkt.	a1_09
250	Quel âge as-tu?	Wie alt bist du?	a1_09
251	J'ai vingt ans.	Ich bin zwanzig Jahre alt.	a1_09
252	Quel livre lis-tu ?	Welches Buch liest du?	a1_09
253	Je vois l'homme.	Ich sehe den Mann.	a1_10
254	Je vois la femme.	Ich sehe die Frau.	a1_10
255	Je vois l'enfant.	Ich sehe das Kind.	a1_10
256	J'achèterai la pomme.	Ich kaufe den Apfel.	a1_10
257	Il achète le journal.	Er kauft die Zeitung.	a1_10
258	Elle achète le livre.	Sie kauft das Buch.	a1_10
259	Nous rendons visite au professeur.	Wir besuchen den Lehrer.	a1_10
260	Je prends le bus.	Ich nehme den Bus.	a1_10
261	Il boit le café.	Er trinkt den Kaffee.	a1_10
262	Elle mange le gâteau.	Sie isst den Kuchen.	a1_10
263	Nous avons besoin d'un ordinateur.	Wir brauchen einen Computer.	a1_10
264	Je cherche un appartement.	Ich suche eine Wohnung.	a1_10
265	Il a un chien.	Er hat einen Hund.	a1_10
266	Elle achète un billet.	Sie kauft ein Ticket.	a1_10
267	Je connais quelqu'un ici.	Ich kenne einen Mann hier.	a1_10
268	Il lit un roman.	Er liest einen Roman.	a1_10
269	Elle a une sœur.	Sie hat eine Schwester.	a1_10
270	Nous partons en voyage.	Wir machen einen Ausflug.	a1_10
271	Je ne vois aucune erreur.	Ich sehe keinen Fehler.	a1_10
272	Il n'a pas de chat.	Er hat keine Katze.	a1_10
273	Elle n'a pas besoin de voiture.	Sie braucht kein Auto.	a1_10
274	Nous n'avons pas faim.	Wir haben keinen Hunger.	a1_10
275	Je vais demander au professeur.	Ich frage den Lehrer.	a1_10
276	Il appelle sa mère.	Er ruft die Mutter an.	a1_10
277	Elle ouvre la fenêtre.	Sie öffnet das Fenster.	a1_10
278	Je prendrai la route de gauche.	Ich nehme die Straße links.	a1_10
279	Il observe l'oiseau dans l'arbre.	Er beobachtet den Vogel im Baum.	a1_10
280	Nous allons visiter le zoo samedi.	Wir besuchen den Zoo am Samstag.	a1_10
281	Je sais nager.	Ich kann schwimmen.	a1_11
282	Vous êtes un bon cuisinier.	Du kannst gut kochen.	a1_11
283	Malheureusement, il ne peut pas venir.	Er kann leider nicht kommen.	a1_11
284	Nous pouvons nous rencontrer demain.	Wir können uns morgen treffen.	a1_11
285	Puis-je vous aider?	Kann ich Ihnen helfen?	a1_11
286	Je dois travailler aujourd'hui.	Ich muss heute arbeiten.	a1_11
287	Tu dois faire tes devoirs.	Du musst die Hausaufgaben machen.	a1_11
288	Il doit aller chez le médecin.	Er muss zum Arzt gehen.	a1_11
289	Nous devons nous lever tôt.	Wir müssen früh aufstehen.	a1_11
290	Vous devez partir maintenant ?	Musst du jetzt gehen?	a1_11
291	Je veux apprendre l'allemand.	Ich will Deutsch lernen.	a1_11
292	Vous souhaitez voyager en Allemagne.	Du willst nach Deutschland reisen.	a1_11
293	Il veut acheter une voiture.	Er will ein Auto kaufen.	a1_11
294	Nous voulons manger ensemble.	Wir wollen zusammen essen.	a1_11
295	Tu veux venir ?	Willst du mitkommen?	a1_11
296	Je voudrais un café, s'il vous plaît.	Ich möchte einen Kaffee, bitte.	a1_11
297	Voulez-vous du thé ?	Möchtest du Tee?	a1_11
298	Il veut dormir.	Er möchte schlafen.	a1_11
299	Nous aimerions visiter le musée.	Wir möchten das Museum besuchen.	a1_11
300	Je n'ai pas le droit de fumer ici.	Ich darf hier nicht rauchen.	a1_11
301	Vous ne devez pas faire ça.	Du darfst das nicht machen.	a1_11
302	Il est censé être là à huit heures.	Er soll um acht Uhr hier sein.	a1_11
303	C'est à elle d'écrire la lettre.	Sie soll den Brief schreiben.	a1_11
304	Je crains que non.	Ich kann leider nicht.	a1_11
305	Nous devons malheureusement partir maintenant.	Wir müssen jetzt leider gehen.	a1_11
306	Puis-je vous poser une question ?	Darf ich Sie etwas fragen?	a1_11
307	Il n'en a pas envie, mais il doit le faire.	Er will nicht, aber er muss.	a1_11
308	Pourriez-vous répéter, s'il vous plaît?	Können Sie das wiederholen, bitte?	a1_11
309	Je me promène dans le parc.	Ich gehe durch den Park.	a1_12
310	Il traverse la ville à pied.	Er läuft durch die Stadt.	a1_12
311	Nous traversons le tunnel en voiture.	Wir fahren durch den Tunnel.	a1_12
312	Ceci est un cadeau pour vous.	Das ist ein Geschenk für dich.	a1_12
313	J'achète quelque chose pour ma mère.	Ich kaufe etwas für meine Mutter.	a1_12
314	Il travaille pour une grande entreprise.	Er arbeitet für eine große Firma.	a1_12
315	Ce cadeau est pour le professeur.	Das Geschenk ist für die Lehrerin.	a1_12
316	J'achète ce livre pour mon frère.	Ich kaufe das Buch für meinen Bruder.	a1_12
317	Je suis contre le bruit.	Ich bin gegen Lärm.	a1_12
318	Il percute un mur.	Er fährt gegen die Wand.	a1_12
319	Nous nous opposons à cette décision.	Wir sind gegen diese Entscheidung.	a1_12
320	Je suis triste sans toi.	Ohne dich bin ich traurig.	a1_12
321	Il sort sans son manteau.	Er geht ohne seinen Mantel raus.	a1_12
322	Elle voyage sans bagages.	Sie reist ohne Gepäck.	a1_12
323	Nous ne partirons pas sans vous.	Wir gehen nicht ohne dich.	a1_12
324	La voiture tourne au coin de la rue.	Das Auto fährt um die Ecke.	a1_12
325	Nous sommes assis autour de la table.	Wir sitzen um den Tisch.	a1_12
326	Il fait le tour de la maison.	Er läuft um das Haus.	a1_12
327	Les enfants jouent autour de la fontaine.	Die Kinder spielen um den Brunnen.	a1_12
328	Elle court autour du lac.	Sie läuft um den See.	a1_12
329	Il arrivera à quatre heures.	Er kommt um vier Uhr.	a1_12
330	À quelle heure commence le film ?	Um wie viel Uhr beginnt der Film?	a1_12
331	Je suis contre cette idée.	Ich bin gegen diese Idee.	a1_12
332	Nous traversons l'Allemagne en voiture.	Wir fahren durch Deutschland.	a1_12
333	Elle franchit la porte.	Sie geht durch die Tür.	a1_12
334	Il achète des fleurs pour sa femme.	Er kauft Blumen für seine Frau.	a1_12
335	On ne peut pas vivre sans eau.	Ohne Wasser kann man nicht leben.	a1_12
336	Je prends le bus.	Ich fahre mit dem Bus.	a1_13
337	Vous venez en train.	Du kommst mit dem Zug.	a1_13
338	Il y va avec sa petite amie.	Er geht mit seiner Freundin.	a1_13
339	Nous y allons en voiture.	Wir fahren mit dem Auto.	a1_13
340	Tu viens avec moi ?	Kommst du mit mir?	a1_13
341	Après avoir mangé, je vais me promener.	Nach dem Essen gehe ich spazieren.	a1_13
342	Elle va à Berlin.	Sie fährt nach Berlin.	a1_13
343	Il rentre à la maison.	Er kommt nach Hause.	a1_13
344	Nous allons faire les courses après l'école.	Wir gehen nach der Schule einkaufen.	a1_13
345	Tu vas en Allemagne ?	Fährst du nach Deutschland?	a1_13
346	Je vis chez mes parents.	Ich wohne bei meinen Eltern.	a1_13
347	Il travaille pour une grande entreprise.	Er arbeitet bei einer großen Firma.	a1_13
348	Le café est situé près de la gare.	Das Café ist beim Bahnhof.	a1_13
349	Elle dort chez une amie ce soir.	Sie schläft heute bei ihrer Freundin.	a1_13
350	Ça vient de ma mère.	Das kommt von meiner Mutter.	a1_13
351	Il rentre du travail.	Er kommt von der Arbeit.	a1_13
352	Le livre est écrit par un auteur allemand.	Das Buch ist von einem deutschen Autor.	a1_13
353	Nous revenons de l'école.	Wir kommen von der Schule.	a1_13
354	Je vais chez mon ami.	Ich gehe zu meinem Freund.	a1_13
355	Elle va au supermarché.	Sie geht zum Supermarkt.	a1_13
356	Il va travailler.	Er fährt zur Arbeit.	a1_13
357	Nous allons chez le médecin.	Wir gehen zum Arzt.	a1_13
358	J'apprends l'allemand depuis un an.	Ich lerne seit einem Jahr Deutsch.	a1_13
359	Il vit ici depuis trois mois.	Er wohnt seit drei Monaten hier.	a1_13
360	Elle est malade depuis hier.	Sie ist seit gestern krank.	a1_13
361	De quel pays êtes-vous originaire ?	Aus welchem Land kommst du?	a1_13
362	Je viens de France.	Ich komme aus Frankreich.	a1_13
363	C'est un cadeau de ma sœur.	Das ist ein Geschenk von meiner Schwester.	a1_13
364	Le livre est posé sur la table.	Das Buch liegt auf dem Tisch.	a1_14
365	J'ai posé le livre sur la table.	Ich lege das Buch auf den Tisch.	a1_14
366	Le chat est assis sur la chaise.	Die Katze sitzt auf dem Stuhl.	a1_14
367	Il pose le chat sur la chaise.	Er setzt die Katze auf den Stuhl.	a1_14
368	Nous sommes dans la cuisine.	Wir sind in der Küche.	a1_14
369	Je vais dans la cuisine.	Ich gehe in die Küche.	a1_14
370	La voiture est dans le garage.	Das Auto steht in der Garage.	a1_14
371	Il gare la voiture dans le garage.	Er fährt das Auto in die Garage.	a1_14
372	Le tableau est accroché au mur.	Das Bild hängt an der Wand.	a1_14
373	J'accroche le tableau au mur.	Ich hänge das Bild an die Wand.	a1_14
374	Le chien est couché sous la table.	Der Hund liegt unter dem Tisch.	a1_14
375	Elle place le sac sous la table.	Sie stellt die Tasche unter den Tisch.	a1_14
376	La lampe est suspendue au-dessus de la table.	Die Lampe hängt über dem Tisch.	a1_14
377	Il suspend la lampe au-dessus de la table.	Er hängt die Lampe über den Tisch.	a1_14
378	Les chaussures sont dehors, devant la porte.	Die Schuhe stehen vor der Tür.	a1_14
379	Je vais mettre les chaussures devant la porte.	Ich stelle die Schuhe vor die Tür.	a1_14
380	Le canapé est à côté de la fenêtre.	Das Sofa steht neben dem Fenster.	a1_14
381	Elle place le canapé près de la fenêtre.	Sie stellt das Sofa neben das Fenster.	a1_14
382	L'enfant est assis derrière la table.	Das Kind sitzt hinter dem Tisch.	a1_14
383	Il passe derrière la maison.	Er geht hinter das Haus.	a1_14
384	Où est le livre ? Il est posé sur la table.	Wo ist das Buch? Es liegt auf dem Tisch.	a1_14
385	Où poses-tu le livre ? Sur la table.	Wohin legst du das Buch? Auf den Tisch.	a1_14
386	Où est-elle ? Elle est à l'école.	Wo ist sie? Sie ist in der Schule.	a1_14
387	Où va-t-elle ? À l'école.	Wohin geht sie? In die Schule.	a1_14
388	Où est la voiture ? Elle est garée à côté de la maison.	Wo ist das Auto? Es steht neben dem Haus.	a1_14
389	Où pose-t-on le verre ? Sur la table.	Wohin stellst du das Glas? Auf den Tisch.	a1_14
390	Le sac est accroché à la porte.	Die Tasche hängt an der Tür.	a1_14
391	La maison est grande.	Das Haus ist groß.	a1_15
392	La ville est magnifique.	Die Stadt ist schön.	a1_15
393	L'homme est vieux.	Der Mann ist alt.	a1_15
394	Il fait beau.	Das Wetter ist gut.	a1_15
